node,proofClass,relayStage,transport,observations,firstArrivals,accepted,duplicates,rejectedOrStale,medianDeltaMs,p95DeltaMs,averagePayloadBytes,udpPresent
Main,pulse,validated,udp,681,596,591,85,90,0,0.8363,898.669603524229,true
Main,pulse,validated,websocket,684,87,89,552,595,4.1305,249.8966,4418.266081871345,true
Main,pulse,validated,http-json,696,15,16,38,680,138.1057,352.719,2740.0149253731342,true
Main,work,validated,udp,9,2,2,7,7,26.1408,251.4481,909,true
Main,work,validated,websocket,9,1,1,8,8,34.9594,274.9157,4485,true
Main,work,validated,http-json,6,0,0,6,6,153.1861,199.9302,2777.3333333333335,true
Dallas,pulse,validated,udp,1381,1296,1194,147,187,0,0.1093,892.6234612599566,true
Dallas,pulse,validated,websocket,1381,166,160,1024,1221,1.5822,9.4152,4435.968139029688,true
Dallas,pulse,validated,http-json,1457,41,41,207,1416,8.8334,120.4635,,true
Dallas,work,validated,udp,9,3,2,7,7,63.9799,263.78,909,true
Dallas,work,validated,websocket,9,1,1,8,8,68.185,281.8675,4490.111111111111,true
Dallas,work,validated,http-json,12,0,0,12,12,48.7118,1223.3993,,true
Detroit,work,validated,udp,1386,900,753,633,633,0,45.2752,893.0627705627705,true
Detroit,work,validated,websocket,1387,633,558,829,829,4.028,457.2371,4436.10021629416,true
Detroit,work,validated,http-json,1405,96,88,1317,1317,41.6792,789.9774,2751.565532223027,true
Evomining,pulse,validated,udp,687,616,612,75,75,0,0.1757,887.1062590975255,true
Evomining,pulse,validated,websocket,688,68,68,620,620,3.9357,16.127,4452.024709302325,true
Evomining,pulse,validated,http-json,690,10,10,680,680,10.7292,176.3265,,true
